Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-Type A,UPDATE-Type A,CURRENT-PilotTest,UPDATE-PilotTest,CURRENT-Past participant,UPDATE-Past participant,CURRENT-Already submitted,UPDATE-Already submitted,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A10443E11ZWEHJ,https://requester.mturk.com/workers/A10443E11ZWEHJ,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1,,Never Blocked,,
A11K4HY613LGHX,https://requester.mturk.com/workers/A11K4HY613LGHX,4,4,100.00%,4,4,100.00%,4,4,100.00%,1,,,10,,1,,,Never Blocked,,
A123BMISGF28F7,https://requester.mturk.com/workers/A123BMISGF28F7,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1,,Never Blocked,,
A12ZZYOWNDMCUP,https://requester.mturk.com/workers/A12ZZYOWNDMCUP,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A13AA4ZKU2F2D0,https://requester.mturk.com/workers/A13AA4ZKU2F2D0,41,41,100.00%,41,41,100.00%,41,41,100.00%,,,,,,,1,,Never Blocked,,
A13QHXMU0OMNAY,https://requester.mturk.com/workers/A13QHXMU0OMNAY,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
A13VIJ7G997ZCY,https://requester.mturk.com/workers/A13VIJ7G997ZCY,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,,,Never Blocked,,
A171SF2UF7YUN4,https://requester.mturk.com/workers/A171SF2UF7YUN4,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A17OSPGV41FZ7P,https://requester.mturk.com/workers/A17OSPGV41FZ7P,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A1830YARZUAFPX,https://requester.mturk.com/workers/A1830YARZUAFPX,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
A18EWG6CNKAO2J,https://requester.mturk.com/workers/A18EWG6CNKAO2J,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
A18S7VHZ6X4F93,https://requester.mturk.com/workers/A18S7VHZ6X4F93,11,11,100.00%,11,11,100.00%,11,11,100.00%,,,,,,,1,,Never Blocked,,
A18VXW5V9Q27ET,https://requester.mturk.com/workers/A18VXW5V9Q27ET,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A1958FL5DWE5SQ,https://requester.mturk.com/workers/A1958FL5DWE5SQ,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A1ANSFI5L7SUUH,https://requester.mturk.com/workers/A1ANSFI5L7SUUH,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A1B3XMTSAYWBT6,https://requester.mturk.com/workers/A1B3XMTSAYWBT6,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
A1BZNPQ0H7ZSER,https://requester.mturk.com/workers/A1BZNPQ0H7ZSER,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A1D3QRG52OISSR,https://requester.mturk.com/workers/A1D3QRG52OISSR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5,,1,,,,Never Blocked,,
A1D9FOXZ0UT0L2,https://requester.mturk.com/workers/A1D9FOXZ0UT0L2,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A1DVKS3R9SLQ1H,https://requester.mturk.com/workers/A1DVKS3R9SLQ1H,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A1DXFMUVK5015A,https://requester.mturk.com/workers/A1DXFMUVK5015A,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A1E2ADZSSESHHP,https://requester.mturk.com/workers/A1E2ADZSSESHHP,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
A1EBVJWBNNPUFU,https://requester.mturk.com/workers/A1EBVJWBNNPUFU,22,22,100.00%,22,22,100.00%,22,22,100.00%,,,,,,,,,Never Blocked,,
A1EF7PCXWNTUXR,https://requester.mturk.com/workers/A1EF7PCXWNTUXR,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A1F4N58CAX8IMK,https://requester.mturk.com/workers/A1F4N58CAX8IMK,25,25,100.00%,25,25,100.00%,25,25,100.00%,,,,,,,,,Never Blocked,,
A1FPCIKO68OQ63,https://requester.mturk.com/workers/A1FPCIKO68OQ63,10,10,100.00%,10,10,100.00%,10,10,100.00%,1,,10,,1,,,,Never Blocked,,
A1G3G0YQ80PTL9,https://requester.mturk.com/workers/A1G3G0YQ80PTL9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A1I34FW58ANO58,https://requester.mturk.com/workers/A1I34FW58ANO58,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A1ILD0JU0QZ6ED,https://requester.mturk.com/workers/A1ILD0JU0QZ6ED,3,3,100.00%,3,3,100.00%,3,3,100.00%,1,,,,,,,,Never Blocked,,
A1JVWOBGNA6KJT,https://requester.mturk.com/workers/A1JVWOBGNA6KJT,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A1LD9ZQ3XTCWUN,https://requester.mturk.com/workers/A1LD9ZQ3XTCWUN,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A1OBB3PWYWK9KK,https://requester.mturk.com/workers/A1OBB3PWYWK9KK,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A1P3YDRJGXWPDT,https://requester.mturk.com/workers/A1P3YDRJGXWPDT,14,14,100.00%,14,14,100.00%,14,14,100.00%,,,,,,,1,,Never Blocked,,
A1PDBRYBFMMFNY,https://requester.mturk.com/workers/A1PDBRYBFMMFNY,6,6,100.00%,6,6,100.00%,6,6,100.00%,,,,,,,1,,Never Blocked,,
A1Q1HSGBD1POWV,https://requester.mturk.com/workers/A1Q1HSGBD1POWV,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A1Q2PXYUSNBCD2,https://requester.mturk.com/workers/A1Q2PXYUSNBCD2,43,43,100.00%,43,43,100.00%,43,43,100.00%,,,,,,,1,,Never Blocked,,
A1QBF6HGY4SF6U,https://requester.mturk.com/workers/A1QBF6HGY4SF6U,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A1RU9BQLDZ1DSY,https://requester.mturk.com/workers/A1RU9BQLDZ1DSY,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A1S2MN0E9BHPVA,https://requester.mturk.com/workers/A1S2MN0E9BHPVA,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A1S9ZYTTST4ODU,https://requester.mturk.com/workers/A1S9ZYTTST4ODU,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A1SBL8LU728U91,https://requester.mturk.com/workers/A1SBL8LU728U91,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A1TQ7UQSSQP7BD,https://requester.mturk.com/workers/A1TQ7UQSSQP7BD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
A1UGD2VEVSML1U,https://requester.mturk.com/workers/A1UGD2VEVSML1U,7,7,100.00%,7,7,100.00%,7,7,100.00%,,,6,,1,,,,Never Blocked,,
A1V2C5IAJ6EJV8,https://requester.mturk.com/workers/A1V2C5IAJ6EJV8,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,3,,1,,,Never Blocked,,
A1VOFYYXKZWG7W,https://requester.mturk.com/workers/A1VOFYYXKZWG7W,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A1WUZOLVPEXOLE,https://requester.mturk.com/workers/A1WUZOLVPEXOLE,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,4,,1,,,Never Blocked,,
A1X84T4EFW04GZ,https://requester.mturk.com/workers/A1X84T4EFW04GZ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5,,1,,,,Never Blocked,,
A1XGHGHD0LCPXJ,https://requester.mturk.com/workers/A1XGHGHD0LCPXJ,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
A1Y2N49VMVJ7C6,https://requester.mturk.com/workers/A1Y2N49VMVJ7C6,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A1YSYI926BBOHW,https://requester.mturk.com/workers/A1YSYI926BBOHW,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A1Z2R494U0IEJX,https://requester.mturk.com/workers/A1Z2R494U0IEJX,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A1ZD8RU6YB0VEU,https://requester.mturk.com/workers/A1ZD8RU6YB0VEU,10,10,100.00%,10,10,100.00%,10,10,100.00%,,,,,,,,,Never Blocked,,
A1ZHX85H6OKMKK,https://requester.mturk.com/workers/A1ZHX85H6OKMKK,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1,,Never Blocked,,
A1ZZ7YO3YASNIP,https://requester.mturk.com/workers/A1ZZ7YO3YASNIP,37,37,100.00%,37,37,100.00%,37,37,100.00%,,,,,,,,,Never Blocked,,
A20SMUCY0FQA7Z,https://requester.mturk.com/workers/A20SMUCY0FQA7Z,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A20YJ8H1DP2MZ3,https://requester.mturk.com/workers/A20YJ8H1DP2MZ3,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A218ZG7O83ZQZ6,https://requester.mturk.com/workers/A218ZG7O83ZQZ6,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A21EZISIJ3JPSW,https://requester.mturk.com/workers/A21EZISIJ3JPSW,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
A224B7BAQ0MZSN,https://requester.mturk.com/workers/A224B7BAQ0MZSN,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,4,,1,,,Never Blocked,,
A22JTMBADARX55,https://requester.mturk.com/workers/A22JTMBADARX55,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
A23AP978617EJS,https://requester.mturk.com/workers/A23AP978617EJS,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A23FIUOUMR9Y2L,https://requester.mturk.com/workers/A23FIUOUMR9Y2L,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5,,1,,,,Never Blocked,,
A23OR0D1FCUVMM,https://requester.mturk.com/workers/A23OR0D1FCUVMM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5,,1,,,,Never Blocked,,
A23U040IB98A2S,https://requester.mturk.com/workers/A23U040IB98A2S,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A24HYROUW8ZMZ,https://requester.mturk.com/workers/A24HYROUW8ZMZ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A2541C8MY0BYV3,https://requester.mturk.com/workers/A2541C8MY0BYV3,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,,,Never Blocked,,
A25SORYWGW7RQC,https://requester.mturk.com/workers/A25SORYWGW7RQC,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A260MIY3WZBFF4,https://requester.mturk.com/workers/A260MIY3WZBFF4,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
A264EBGUV70XK9,https://requester.mturk.com/workers/A264EBGUV70XK9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A267SCN7MD0CRX,https://requester.mturk.com/workers/A267SCN7MD0CRX,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A26MN6JIKD4NXU,https://requester.mturk.com/workers/A26MN6JIKD4NXU,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,,,Never Blocked,,
A273DS7TQWR9M1,https://requester.mturk.com/workers/A273DS7TQWR9M1,15,15,100.00%,15,15,100.00%,15,15,100.00%,,,,,,,,,Never Blocked,,
A27XCW38I77SZ6,https://requester.mturk.com/workers/A27XCW38I77SZ6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
A289QQE6F6EZZE,https://requester.mturk.com/workers/A289QQE6F6EZZE,6,6,100.00%,6,6,100.00%,6,6,100.00%,,,,,,,1,,Never Blocked,,
A299J4PKHAEU9H,https://requester.mturk.com/workers/A299J4PKHAEU9H,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,2,,1,,,Never Blocked,,
A29NA4283YJ26D,https://requester.mturk.com/workers/A29NA4283YJ26D,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,,,Never Blocked,,
A2AHOL6JU0F0K1,https://requester.mturk.com/workers/A2AHOL6JU0F0K1,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,2,,1,,,Never Blocked,,
A2AJ9M5YP8IM54,https://requester.mturk.com/workers/A2AJ9M5YP8IM54,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1,,1,,,,Never Blocked,,
A2AMYX1J96G2JG,https://requester.mturk.com/workers/A2AMYX1J96G2JG,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A2AW84LKJU1EO8,https://requester.mturk.com/workers/A2AW84LKJU1EO8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A2BACJE00ZUDXS,https://requester.mturk.com/workers/A2BACJE00ZUDXS,2,1,50.00%,2,1,50.00%,2,1,50.00%,,,10,,1,,,,Never Blocked,,
A2CK0OXMPOR9LE,https://requester.mturk.com/workers/A2CK0OXMPOR9LE,21,21,100.00%,21,21,100.00%,21,21,100.00%,1,,,,,,,,Never Blocked,,
A2D6VL5XE0O4D3,https://requester.mturk.com/workers/A2D6VL5XE0O4D3,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,Never Blocked,,
A2DVV59R1CQU6T,https://requester.mturk.com/workers/A2DVV59R1CQU6T,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A2DW47AFPJWXAM,https://requester.mturk.com/workers/A2DW47AFPJWXAM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7,,1,,,,Never Blocked,,
A2EHKB8T5FPLPU,https://requester.mturk.com/workers/A2EHKB8T5FPLPU,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1,,1,,,,Never Blocked,,
A2EKDPFTO5PNPM,https://requester.mturk.com/workers/A2EKDPFTO5PNPM,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
A2EL6CXCGP4OB0,https://requester.mturk.com/workers/A2EL6CXCGP4OB0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A2EO6IBGQEOMLB,https://requester.mturk.com/workers/A2EO6IBGQEOMLB,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A2HNP1YL1IBFMU,https://requester.mturk.com/workers/A2HNP1YL1IBFMU,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,7,,1,,,Never Blocked,,
A2HR7ZIX42FEPG,https://requester.mturk.com/workers/A2HR7ZIX42FEPG,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A2IEKGZ0JO612F,https://requester.mturk.com/workers/A2IEKGZ0JO612F,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A2IK4Y33UY7YFK,https://requester.mturk.com/workers/A2IK4Y33UY7YFK,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,7,,1,,,,Never Blocked,,
A2IUT0610X9CV0,https://requester.mturk.com/workers/A2IUT0610X9CV0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A2JAMNGL6SDAHQ,https://requester.mturk.com/workers/A2JAMNGL6SDAHQ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A2JP9IKRHNLRPI,https://requester.mturk.com/workers/A2JP9IKRHNLRPI,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,0,,1,,,,Never Blocked,,
A2JRM1LHKMHH5I,https://requester.mturk.com/workers/A2JRM1LHKMHH5I,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A2KBTDHM44J7X4,https://requester.mturk.com/workers/A2KBTDHM44J7X4,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A2KH9SC6A8VQXZ,https://requester.mturk.com/workers/A2KH9SC6A8VQXZ,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A2KNDTYE4PUIQ1,https://requester.mturk.com/workers/A2KNDTYE4PUIQ1,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,2,,1,,,Never Blocked,,
A2LRY3ID0PEG82,https://requester.mturk.com/workers/A2LRY3ID0PEG82,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
A2LYW6MLZN3CU8,https://requester.mturk.com/workers/A2LYW6MLZN3CU8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A2MCG5W6LHSRG9,https://requester.mturk.com/workers/A2MCG5W6LHSRG9,34,34,100.00%,34,34,100.00%,34,34,100.00%,1,,,,,,,,Never Blocked,,
A2NK6BMMR490M3,https://requester.mturk.com/workers/A2NK6BMMR490M3,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A2NPUPP06POEJ0,https://requester.mturk.com/workers/A2NPUPP06POEJ0,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
A2OP2ZANIM5ZV,https://requester.mturk.com/workers/A2OP2ZANIM5ZV,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1,,1,,,,Never Blocked,,
A2OTDMCV8CZWML,https://requester.mturk.com/workers/A2OTDMCV8CZWML,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7,,1,,,,Never Blocked,,
A2P1KI42CJVNIA,https://requester.mturk.com/workers/A2P1KI42CJVNIA,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,,,Never Blocked,,
A2PFSE9ZYPJR0A,https://requester.mturk.com/workers/A2PFSE9ZYPJR0A,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A2Q4ILF5IEPAE3,https://requester.mturk.com/workers/A2Q4ILF5IEPAE3,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A2QUXO9OJY69QM,https://requester.mturk.com/workers/A2QUXO9OJY69QM,16,16,100.00%,16,16,100.00%,16,16,100.00%,,,,,,,,,Never Blocked,,
A2R258KNY2GJE,https://requester.mturk.com/workers/A2R258KNY2GJE,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A2R8IV2PWFTY00,https://requester.mturk.com/workers/A2R8IV2PWFTY00,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1,,Never Blocked,,
A2RY24DUOWXUWU,https://requester.mturk.com/workers/A2RY24DUOWXUWU,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A2SBISQJE2ZPJQ,https://requester.mturk.com/workers/A2SBISQJE2ZPJQ,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1,,Never Blocked,,
A2SSYBUT9ZM0G9,https://requester.mturk.com/workers/A2SSYBUT9ZM0G9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
