,AUWHXEA1AXCVE,A2OWT6YNGSTFGZ,A2XGOBIWUDYLOT,A1DXFMUVK5015A,A27XCW38I77SZ6,A2UC4H3EHIMWGC,AECKWX9PFTHOM,A2DW47AFPJWXAM,A1G3G0YQ80PTL9,A4RT8SPRCRYVN,A1830YARZUAFPX,ASVP3M0AQ1HG4,AQ0ENO64Z0MBF,ATXUM0GBU5MC8,A2BACJE00ZUDXS,AZE7YSINS9UNZ,A32DRYN7M7HIZT,A2LRY3ID0PEG82,AVT0YEI6ESW25,A24HYROUW8ZMZ,AYJEQZWQZ471L,A11K4HY613LGHX,AZ4ZQMOFA3GND,ADFK3HW4HAH48,A2UF26QQNQOFCZ,A18EYZSDYZ7NIG,A1Y2N49VMVJ7C6,AOZ5HHRV4LTJF,A2IK4Y33UY7YFK,A1E2ADZSSESHHP,A22JTMBADARX55,A1VOFYYXKZWG7W,AFASY2VX8PADR,A2ZX5TLZPAQ2XD,A1X4KK8GK21WI4,A2XTDTDT3QSCB,A31J4TQIDERVVE,A3DZKVP1OBSTRF,A2RY24DUOWXUWU,A25SORYWGW7RQC,A1LD9ZQ3XTCWUN,AZR34QLGQARBV,A34HKFZ7LF12EC,A2OTDMCV8CZWML,A1FPCIKO68OQ63,A13QHXMU0OMNAY,A3L4JI1S352HB8,A1BWZQ1PEJG1HX,AKH0WFAUBUKUS,A1Z2P53Z69SJ92,A1PAFL0DX7EMAZ,A3VZA2YUYAOE0K,AK3DF1BXS8DSM,ABVPW8753ZBJO,A2EL6CXCGP4OB0,A2NPUPP06POEJ0,A2HNP1YL1IBFMU,A3QQD8CMGDUN8X
R36_3592_A_~,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_445_~_O,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R36_633_N_~,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,
R28_4815_A_N,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R28_7100_A_O,,,,,,,,,,,,l2,,,,,,,l2,,,,,,,,,l2diff,l2,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R28_743_N_A,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R28_774_~_N,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_1031_O_N,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_1825_O_A,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_302_N_O,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_4251_~_A,,,,,,,,,,,,l2,,,,,,,l2,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_51_N_A,,,,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,l2,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,
R29_5503_~_O,,,,,,,,,,,,l2,,,,,,,l2,,,,,,,,,l2,l2,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,
R11_322_N_~,,,,,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,
R11_3739_~_A,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,l2diff,,,,
R11_4117_A_O,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,
R11_439_A_~,,,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2,,,,
R11_592_A_N,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2,,,,
R11_6438_~_O,,,,,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,
R11_780_N_A,,,,,,l2diff,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,l2,,,,
R11_914_O_A,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,
R12_122_N_A,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,
R12_127_N_~,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,l2diff,,,,
R6_5931_A_~,,,,,,,,,,,l2,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R6_738_N_~,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R6_789_O_A,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R6_791_N_O,,,,,,,,,,,l2,,,,,,,l2,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R7_1116_~_O,,,,,,,,,,,l2,,,,,,,l2diff,,l2,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R7_146_N_O,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R7_1587_O_A,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R7_1588_O_~,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,
R7_1606_O_N,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R7_2549_A_O,,,,,,,,,,,l2diff,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,
R0_748_N_~,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_761_~_N,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1245_O_~,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1567_~_O,,,,,,,l2,,,,,,,,,,,,,l2,,,,l2,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1723_O_N,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1893_O_A,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_272_N_O,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_2845_A_O,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_3310_A_N,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_454_N_A,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R43_273_N_A,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,l2diff,,,,l2diff,,
R43_313_N_~,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,l2diff,,,,l2diff,,
R43_4122_A_O,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2,,,,,l2,,,,,,,,,,,l2,,,,l2,,
R43_440_N_O,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,l2diff,,,,l2diff,,
R43_4873_~_O,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2,,,,,l2,,,,,,,,,,,l2,,,,l2diff,,
R43_4916_~_N,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,l2diff,,,,l2diff,,
R43_5775_A_N,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,l2,,,,l2diff,,
R43_6100_A_~,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,l2diff,,,,l2diff,,
R44_162_O_A,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,l2diff,,,,l2diff,,
R44_1707_~_N,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,l2,,,,,l2diff,,,,,,,,,,,l2,,,,l2,,
R40_755_N_A,,,,l2,,,,,,,l2,,,l2diff,,,,,,,l2,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R40_850_O_A,,,,l2,,,,,,,l2,,,l2diff,,,,,,,l2diff,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R41_1334_O_~,,,,l2,,,,,,,l2,,,l2diff,,,,,,,l2,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R41_145_O_N,,,,l2diff,,,,,,,l2,,,l2,,,,,,,l2,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R41_151_N_O,,,,l2diff,,,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R41_1706_~_A,,,,l2,,,,,,,l2,,,l2,,,,,,,l2,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R41_1997_O_A,,,,l2,,,,,,,l2,,,l2diff,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R41_2961_~_O,,,,l2,,,,,,,l2,,,l2,,,,,,,l2,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R41_3319_A_~,,,,l2diff,,,,,,,l2diff,,,l2diff,,,,,,,l2diff,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R41_4901_A_N,,,,l2diff,,,,,,,l2diff,,,l2diff,,,,,,,l2,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R45_7322_~_N,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,
R45_796_N_O,,,,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,
R46_104_N_A,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2,l2diff,,,,,,,,,,,,,,,,,,,,
R46_1286_O_A,,,,,,,,,,,l2,,,,,,,,,,,l2,,,,,,,,,,,,,l2diff,,l2,l2diff,,,,,,,,,,,,,,,,,,,,
R46_188_N_O,,,,,,,,,,,l2,,,,,,,,,,,l2,,,,,,,,,,,,,l2diff,,l2,l2diff,,,,,,,,,,,,,,,,,,,,
R46_2607_~_A,,,,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,
R46_2730_~_N,,,,,,,,,,,l2,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2,l2diff,,,,,,,,,,,,,,,,,,,,
R46_311_N_~,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,
R46_413_O_~,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,
R46_439_A_N,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,
R17_146_N_A,,,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_1824_A_O,,,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_206_N_O,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_208_A_~,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_2821_~_O,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_3183_~_N,,,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_3635_A_N,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_506_N_~,,,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_561_O_N,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R17_737_O_~,,,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R23_448_N_A,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R23_4952_A_O,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,
R23_577_O_~,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R23_606_N_O,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,
R24_2024_O_A,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R24_2031_O_~,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R24_2614_~_A,,,,,,,l2,,,,,,,,l2,,,,,,,,l2,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,
R24_3185_A_N,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R24_3199_~_N,,,,,,,l2,,,,,,,,l2,,,,,,,,l2,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R24_388_N_~,,,,,,,l2diff,,,,,,,,l2diff,,,,,,,,l2diff,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,
R31_133_O_~,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R31_1691_A_O,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,l2diff,,,,,l2diff,,l2,,,,,,,,,,l2,,,,,,,,,,
R31_219_N_A,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R31_358_N_O,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R31_522_O_A,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,l2diff,,,,,,,,,,l2,,,,,,,,,,
R31_5987_A_N,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R31_6157_~_A,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2,,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R31_7180_~_O,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,l2,,,,,l2,,l2,,,,,,,,,,l2,,,,,,,,,,
R31_7320_~_N,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,l2,,,,,l2,,l2,,,,,,,,,,l2,,,,,,,,,,
R31_755_N_~,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,l2diff,,,,,l2diff,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,
R16_4966_~_N,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_4966_~_O,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_5365_~_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_538_N_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_5616_A_O,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_574_N_~,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_702_O_N,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R16_977_O_~,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R17_1115_O_A,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R17_1160_~_A,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,,,,,,,,,,,,l2diff,
R30_1253_~_O,,,,,,l2diff,l2,,,,,,,,,,,l2,,,,,,,,,,,l2,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_2181_~_N,,,,,,l2diff,l2,,,,,,,,,,,l2,,,,,,,,,,,l2,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_320_N_O,,,,,,l2diff,l2,,,,,,,,,,,l2diff,,,,,,,,,,,l2,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_413_O_N,,,,,,l2diff,l2diff,,,,,,,,,,,l2,,,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_538_N_~,,,,,,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_5470_A_N,,,,,,l2,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_5591_A_O,,,,,,l2diff,l2,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_5766_~_A,,,,,,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_628_N_A,,,,,,l2,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R30_6423_A_~,,,,,,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,l2,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R8_416_N_O,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_4522_~_A,,,,,,,,,l2,,,,,,,l2,,,,,,,,,,,l2,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_462_N_~,,,,,,,,,l2,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_484_O_~,,,,,,,,,l2,,,,,,,l2diff,,,,,,,,,,,l2,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_5572_A_O,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_606_N_A,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_737_O_A,,,,,,,,,l2,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R8_872_O_N,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R9_1116_~_N,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R9_1746_O_N,,,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,,l2,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,
R14_593_O_A,,,,,,,l2diff,,,,,,,,,,,,,,l2,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R14_6631_A_~,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R14_718_O_~,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R14_795_A_N,,,,,,,l2,,,,,,,,,,,,,,l2diff,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R15_1400_O_A,,,,,,,l2diff,,,,,,,,,,,,,,l2,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R15_1587_O_~,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R15_181_O_N,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R15_250_N_O,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R15_4325_~_A,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R15_467_N_A,,,,,,,l2diff,,,,,,,,,,,,,,l2,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,
R26_2217_~_O,,,,,,,l2,,,,,,,,,,,l2,,,,,l2,,,,,,,,,,,,,,l2,,,,,,,,,,l2,,,,,,,,,,,
R26_228_N_O,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,
R26_2326_A_O,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,
R26_4282_~_A,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,
R26_524_~_N,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,,,l2diff,,,,,,,,,,,
R26_529_O_N,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,
R26_5470_A_~,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,
R26_615_N_~,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,
R26_647_N_A,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,l2diff,,,,,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,
R26_6631_A_N,,,,,,,l2diff,,,,,,,,,,,l2,,,,,l2,,,,,,,,,,,,,,l2,,,,,,,,,,l2diff,,,,,,,,,,,
